,state,WEBSITE,actlevel,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,season
263,Idaho,Influenza,0,Insufficient Data,Sep-28-2019,39,2018-19
264,Washington,Influenza Update,0,Insufficient Data,Sep-28-2019,39,2018-19
265,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Oct-05-2019,40,2019-20
266,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Oct-12-2019,41,2019-20
267,Florida,Weekly Influenza Surveillance Reports,0,Insufficient Data,Oct-26-2019,43,2019-20
269,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Nov-09-2019,45,2019-20
276,Alaska,Influenza Surveillance Report,0,Insufficient Data,Dec-21-2019,51,2019-20
277,Florida,Weekly Influenza Surveillance Reports,0,Insufficient Data,Dec-21-2019,51,2019-20
278,Idaho,Influenza,0,Insufficient Data,Dec-21-2019,51,2019-20
281,District of Columbia,Influenza Information,0,Insufficient Data,Jan-09-2016,1,2015-16
283,District of Columbia,Influenza Information,0,Insufficient Data,Jan-16-2016,2,2015-16
285,District of Columbia,Influenza Information,0,Insufficient Data,Jan-23-2016,3,2015-16
287,District of Columbia,Influenza Information,0,Insufficient Data,Jan-30-2016,4,2015-16
289,District of Columbia,Influenza Information,0,Insufficient Data,Feb-06-2016,5,2015-16
291,District of Columbia,Influenza Information,0,Insufficient Data,Feb-13-2016,6,2015-16
293,District of Columbia,Influenza Information,0,Insufficient Data,Feb-20-2016,7,2015-16
295,District of Columbia,Influenza Information,0,Insufficient Data,Feb-27-2016,8,2015-16
297,District of Columbia,Influenza Information,0,Insufficient Data,Mar-05-2016,9,2015-16
299,District of Columbia,Influenza Information,0,Insufficient Data,Mar-12-2016,10,2015-16
301,District of Columbia,Influenza Information,0,Insufficient Data,Mar-19-2016,11,2015-16
303,District of Columbia,Influenza Information,0,Insufficient Data,Mar-26-2016,12,2015-16
305,District of Columbia,Influenza Information,0,Insufficient Data,Apr-02-2016,13,2015-16
307,District of Columbia,Influenza Information,0,Insufficient Data,Apr-09-2016,14,2015-16
309,District of Columbia,Influenza Information,0,Insufficient Data,Apr-16-2016,15,2015-16
311,District of Columbia,Influenza Information,0,Insufficient Data,Apr-23-2016,16,2015-16
313,District of Columbia,Influenza Information,0,Insufficient Data,Apr-30-2016,17,2015-16
315,District of Columbia,Influenza Information,0,Insufficient Data,May-07-2016,18,2015-16
317,District of Columbia,Influenza Information,0,Insufficient Data,May-14-2016,19,2015-16
320,District of Columbia,Influenza Information,0,Insufficient Data,May-21-2016,20,2015-16
321,District of Columbia,Influenza Information,0,Insufficient Data,May-28-2016,21,2015-16
323,Idaho,Influenza,0,Insufficient Data,Jun-04-2016,22,2015-16
325,Idaho,Influenza,0,Insufficient Data,Jun-11-2016,23,2015-16
326,District of Columbia,Influenza Information,0,Insufficient Data,Jun-04-2016,22,2015-16
327,District of Columbia,Influenza Information,0,Insufficient Data,Jun-11-2016,23,2015-16
329,Idaho,Influenza,0,Insufficient Data,Jun-25-2016,25,2015-16
330,District of Columbia,Influenza Information,0,Insufficient Data,Jun-18-2016,24,2015-16
333,Idaho,Influenza,0,Insufficient Data,Jul-02-2016,26,2015-16
334,Idaho,Influenza,0,Insufficient Data,Jul-09-2016,27,2015-16
335,District of Columbia,Influenza Information,0,Insufficient Data,Jun-25-2016,25,2015-16
336,District of Columbia,Influenza Information,0,Insufficient Data,Jul-02-2016,26,2015-16
339,District of Columbia,Influenza Information,0,Insufficient Data,Jul-09-2016,27,2015-16
340,District of Columbia,Influenza Information,0,Insufficient Data,Jul-16-2016,28,2015-16
341,Idaho,Influenza,0,Insufficient Data,Jul-16-2016,28,2015-16
342,Idaho,Influenza,0,Insufficient Data,Jul-23-2016,29,2015-16
345,Idaho,Influenza,0,Insufficient Data,Jul-30-2016,30,2015-16
346,Idaho,Influenza,0,Insufficient Data,Aug-06-2016,31,2015-16
347,District of Columbia,Influenza Information,0,Insufficient Data,Jul-23-2016,29,2015-16
348,District of Columbia,Influenza Information,0,Insufficient Data,Jul-30-2016,30,2015-16
349,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Jul-30-2016,30,2015-16
352,Idaho,Influenza,0,Insufficient Data,Aug-13-2016,32,2015-16
354,District of Columbia,Influenza Information,0,Insufficient Data,Aug-06-2016,31,2015-16
355,District of Columbia,Influenza Information,0,Insufficient Data,Aug-13-2016,32,2015-16
356,District of Columbia,Influenza Information,0,Insufficient Data,Aug-20-2016,33,2015-16
357,Idaho,Influenza,0,Insufficient Data,Aug-20-2016,33,2015-16
358,Idaho,Influenza,0,Insufficient Data,Aug-27-2016,34,2015-16
359,North Dakota,Influenza,0,Insufficient Data,Aug-20-2016,33,2015-16
362,District of Columbia,Influenza Information,0,Insufficient Data,Aug-27-2016,34,2015-16
363,District of Columbia,Influenza Information,0,Insufficient Data,Sep-03-2016,35,2015-16
364,Idaho,Influenza,0,Insufficient Data,Sep-03-2016,35,2015-16
365,Montana,Influenza: What You Need to Know,0,Insufficient Data,Sep-03-2016,35,2015-16
366,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Sep-03-2016,35,2015-16
368,Idaho,Influenza,0,Insufficient Data,Sep-10-2016,36,2015-16
369,North Dakota,Influenza,0,Insufficient Data,Sep-10-2016,36,2015-16
371,District of Columbia,Influenza Information,0,Insufficient Data,Sep-10-2016,36,2015-16
372,Idaho,Influenza,0,Insufficient Data,Sep-17-2016,37,2015-16
373,District of Columbia,Influenza Information,0,Insufficient Data,Sep-17-2016,37,2015-16
374,North Dakota,Influenza,0,Insufficient Data,Sep-17-2016,37,2015-16
375,North Dakota,Influenza,0,Insufficient Data,Sep-24-2016,38,2015-16
378,District of Columbia,Influenza Information,0,Insufficient Data,Sep-24-2016,38,2015-16
379,North Dakota,Influenza,0,Insufficient Data,Oct-01-2016,39,2015-16
381,District of Columbia,Influenza Information,0,Insufficient Data,Oct-01-2016,39,2015-16
382,District of Columbia,Influenza Information,0,Insufficient Data,Oct-08-2016,40,2016-17
384,District of Columbia,Influenza Information,0,Insufficient Data,Oct-15-2016,41,2016-17
386,District of Columbia,Influenza Information,0,Insufficient Data,Oct-22-2016,42,2016-17
388,District of Columbia,Influenza Information,0,Insufficient Data,Oct-29-2016,43,2016-17
390,District of Columbia,Influenza Information,0,Insufficient Data,Nov-05-2016,44,2016-17
392,District of Columbia,Influenza Information,0,Insufficient Data,Nov-12-2016,45,2016-17
394,District of Columbia,Influenza Information,0,Insufficient Data,Nov-19-2016,46,2016-17
396,District of Columbia,Influenza Information,0,Insufficient Data,Nov-26-2016,47,2016-17
398,District of Columbia,Influenza Information,0,Insufficient Data,Dec-03-2016,48,2016-17
400,District of Columbia,Influenza Information,0,Insufficient Data,Dec-10-2016,49,2016-17
402,District of Columbia,Influenza Information,0,Insufficient Data,Dec-17-2016,50,2016-17
404,District of Columbia,Influenza Information,0,Insufficient Data,Dec-24-2016,51,2016-17
406,District of Columbia,Influenza Information,0,Insufficient Data,Dec-31-2016,52,2016-17
408,District of Columbia,Influenza Information,0,Insufficient Data,Jan-07-2017,1,2016-17
410,District of Columbia,Influenza Information,0,Insufficient Data,Jan-14-2017,2,2016-17
412,District of Columbia,Influenza Information,0,Insufficient Data,Jan-21-2017,3,2016-17
414,District of Columbia,Influenza Information,0,Insufficient Data,Jan-28-2017,4,2016-17
416,District of Columbia,Influenza Information,0,Insufficient Data,Feb-04-2017,5,2016-17
418,District of Columbia,Influenza Information,0,Insufficient Data,Feb-11-2017,6,2016-17
420,District of Columbia,Influenza Information,0,Insufficient Data,Feb-18-2017,7,2016-17
422,District of Columbia,Influenza Information,0,Insufficient Data,Feb-25-2017,8,2016-17
424,District of Columbia,Influenza Information,0,Insufficient Data,Mar-04-2017,9,2016-17
426,District of Columbia,Influenza Information,0,Insufficient Data,Mar-11-2017,10,2016-17
428,District of Columbia,Influenza Information,0,Insufficient Data,Mar-18-2017,11,2016-17
430,District of Columbia,Influenza Information,0,Insufficient Data,Mar-25-2017,12,2016-17
432,District of Columbia,Influenza Information,0,Insufficient Data,Apr-01-2017,13,2016-17
434,District of Columbia,Influenza Information,0,Insufficient Data,Apr-08-2017,14,2016-17
436,District of Columbia,Influenza Information,0,Insufficient Data,Apr-15-2017,15,2016-17
438,District of Columbia,Influenza Information,0,Insufficient Data,Apr-22-2017,16,2016-17
440,District of Columbia,Influenza Information,0,Insufficient Data,Apr-29-2017,17,2016-17
442,District of Columbia,Influenza Information,0,Insufficient Data,May-06-2017,18,2016-17
444,District of Columbia,Influenza Information,0,Insufficient Data,May-13-2017,19,2016-17
446,District of Columbia,Influenza Information,0,Insufficient Data,May-20-2017,20,2016-17
448,Idaho,Influenza,0,Insufficient Data,Jun-03-2017,22,2016-17
449,Colorado,Influenza Surveillance,0,Insufficient Data,May-27-2017,21,2016-17
450,District of Columbia,Influenza Information,0,Insufficient Data,May-27-2017,21,2016-17
452,District of Columbia,Influenza Information,0,Insufficient Data,Jun-03-2017,22,2016-17
454,Idaho,Influenza,0,Insufficient Data,Jun-10-2017,23,2016-17
455,North Dakota,Influenza,0,Insufficient Data,Jun-10-2017,23,2016-17
456,District of Columbia,Influenza Information,0,Insufficient Data,Jun-10-2017,23,2016-17
458,Idaho,Influenza,0,Insufficient Data,Jun-17-2017,24,2016-17
459,North Dakota,Influenza,0,Insufficient Data,Jun-17-2017,24,2016-17
460,District of Columbia,Influenza Information,0,Insufficient Data,Jun-17-2017,24,2016-17
462,District of Columbia,Influenza Information,0,Insufficient Data,Jun-24-2017,25,2016-17
463,Idaho,Influenza,0,Insufficient Data,Jun-24-2017,25,2016-17
464,North Dakota,Influenza,0,Insufficient Data,Jun-24-2017,25,2016-17
465,Idaho,Influenza,0,Insufficient Data,Jul-01-2017,26,2016-17
466,North Dakota,Influenza,0,Insufficient Data,Jul-01-2017,26,2016-17
469,Idaho,Influenza,0,Insufficient Data,Jul-08-2017,27,2016-17
470,North Dakota,Influenza,0,Insufficient Data,Jul-08-2017,27,2016-17
471,District of Columbia,Influenza Information,0,Insufficient Data,Jul-01-2017,26,2016-17
472,Connecticut,Flu Statistics,0,Insufficient Data,Jun-24-2017,25,2016-17
473,Connecticut,Flu Statistics,0,Insufficient Data,Jul-08-2017,27,2016-17
474,District of Columbia,Influenza Information,0,Insufficient Data,Jul-08-2017,27,2016-17
476,Idaho,Influenza,0,Insufficient Data,Jul-15-2017,28,2016-17
477,North Dakota,Influenza,0,Insufficient Data,Jul-15-2017,28,2016-17
479,District of Columbia,Influenza Information,0,Insufficient Data,Jul-15-2017,28,2016-17
480,Colorado,Influenza Surveillance,0,Insufficient Data,Jul-15-2017,28,2016-17
481,Connecticut,Flu Statistics,0,Insufficient Data,Jul-15-2017,28,2016-17
482,Connecticut,Flu Statistics,0,Insufficient Data,Jul-22-2017,29,2016-17
483,Idaho,Influenza,0,Insufficient Data,Jul-22-2017,29,2016-17
484,North Dakota,Influenza,0,Insufficient Data,Jul-22-2017,29,2016-17
486,District of Columbia,Influenza Information,0,Insufficient Data,Jul-22-2017,29,2016-17
487,District of Columbia,Influenza Information,0,Insufficient Data,Jul-29-2017,30,2016-17
488,Idaho,Influenza,0,Insufficient Data,Jul-29-2017,30,2016-17
490,Connecticut,Flu Statistics,0,Insufficient Data,Jul-29-2017,30,2016-17
491,Connecticut,Flu Statistics,0,Insufficient Data,Aug-05-2017,31,2016-17
492,District of Columbia,Influenza Information,0,Insufficient Data,Aug-05-2017,31,2016-17
493,Idaho,Influenza,0,Insufficient Data,Aug-05-2017,31,2016-17
494,North Dakota,Influenza,0,Insufficient Data,Aug-05-2017,31,2016-17
495,Idaho,Influenza,0,Insufficient Data,Aug-12-2017,32,2016-17
496,North Dakota,Influenza,0,Insufficient Data,Aug-12-2017,32,2016-17
498,District of Columbia,Influenza Information,0,Insufficient Data,Aug-12-2017,32,2016-17
500,Idaho,Influenza,0,Insufficient Data,Aug-19-2017,33,2016-17
501,North Dakota,Influenza,0,Insufficient Data,Aug-19-2017,33,2016-17
502,Connecticut,Flu Statistics,0,Insufficient Data,Aug-12-2017,32,2016-17
503,District of Columbia,Influenza Information,0,Insufficient Data,Aug-19-2017,33,2016-17
505,Connecticut,Flu Statistics,0,Insufficient Data,Aug-19-2017,33,2016-17
506,Idaho,Influenza,0,Insufficient Data,Aug-26-2017,34,2016-17
507,North Dakota,Influenza,0,Insufficient Data,Aug-26-2017,34,2016-17
508,Connecticut,Flu Statistics,0,Insufficient Data,Aug-26-2017,34,2016-17
509,District of Columbia,Influenza Information,0,Insufficient Data,Aug-26-2017,34,2016-17
511,Connecticut,Flu Statistics,0,Insufficient Data,Sep-02-2017,35,2016-17
512,District of Columbia,Influenza Information,0,Insufficient Data,Sep-02-2017,35,2016-17
513,Idaho,Influenza,0,Insufficient Data,Sep-02-2017,35,2016-17
514,North Dakota,Influenza,0,Insufficient Data,Sep-02-2017,35,2016-17
516,Connecticut,Flu Statistics,0,Insufficient Data,Sep-09-2017,36,2016-17
517,District of Columbia,Influenza Information,0,Insufficient Data,Sep-09-2017,36,2016-17
518,Idaho,Influenza,0,Insufficient Data,Sep-09-2017,36,2016-17
519,North Dakota,Influenza,0,Insufficient Data,Sep-09-2017,36,2016-17
521,Connecticut,Flu Statistics,0,Insufficient Data,Sep-16-2017,37,2016-17
522,District of Columbia,Influenza Information,0,Insufficient Data,Sep-16-2017,37,2016-17
523,Idaho,Influenza,0,Insufficient Data,Sep-16-2017,37,2016-17
524,North Dakota,Influenza,0,Insufficient Data,Sep-16-2017,37,2016-17
526,Connecticut,Flu Statistics,0,Insufficient Data,Sep-23-2017,38,2016-17
527,District of Columbia,Influenza Information,0,Insufficient Data,Sep-23-2017,38,2016-17
528,Idaho,Influenza,0,Insufficient Data,Sep-23-2017,38,2016-17
529,North Dakota,Influenza,0,Insufficient Data,Sep-23-2017,38,2016-17
531,District of Columbia,Influenza Information,0,Insufficient Data,Sep-30-2017,39,2016-17
